module,function_name,runs,assume_free,filter_free,nb_samples,failed_health_check,violation_error,exceptions
python_by_contract_corpus.ethz_eprog_2019.exercise_02.problem_02,draw,True,False,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_02.problem_03,draw,True,False,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_02.problem_05_01,draw,True,False,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_02.problem_05_02,draw,True,False,True,16,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_01,compute,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_02,repr_binary,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_03,gcd,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_04,decode,True,False,False,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_04,encode,True,True,True,16,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_01,find,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_01,naive_is_prime,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_01,sieve,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_02,approximate_sqrt,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_03,digits_to_number,False,False,False,11,True,False,"Data generation is extremely slow: Only produced 7 valid examples in True4 seconds (19 invalid ones and 0 exceeded maximum size). Try decreasing size of the data you're generating (with e.g.max_size or max_leaves parameters).
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.too_slow to the suppress_health_check settings for this test."
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_03,find_summands,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_03,number_to_digits,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_05.problem_03,bin_index,True,False,False,1,True,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_05.problem_03,compute_histogram,True,True,False,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_05.problem_03,compute_stats,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_05.problem_04,longest_booked_room,False,False,False,8,True,False,"It looks like your strategy is filtering out a lot of data. Health check found 50 filtered examples but only 3 good ones. This will make your tests much slower, and also will probably distort the data generation quite a lot. You should adapt your strategy to filter less. This can also be caused by a low max_leaves parameter in recursive() calls
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.filter_too_much to the suppress_health_check settings for this test."
python_by_contract_corpus.ethz_eprog_2019.exercise_05.problem_04,most_booked_room,False,False,False,13,True,False,"It looks like your strategy is filtering out a lot of data. Health check found 50 filtered examples but only 5 good ones. This will make your tests much slower, and also will probably distort the data generation quite a lot. You should adapt your strategy to filter less. This can also be caused by a low max_leaves parameter in recursive() calls
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.filter_too_much to the suppress_health_check settings for this test."
python_by_contract_corpus.ethz_eprog_2019.exercise_05.problem_04,room_with_most_revenue,False,False,False,5,True,False,"It looks like your strategy is filtering out a lot of data. Health check found 50 filtered examples but only 3 good ones. This will make your tests much slower, and also will probably distort the data generation quite a lot. You should adapt your strategy to filter less. This can also be caused by a low max_leaves parameter in recursive() calls
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.filter_too_much to the suppress_health_check settings for this test."
python_by_contract_corpus.ethz_eprog_2019.exercise_05.problem_04,total_revenue,False,False,False,13,True,False,"It looks like your strategy is filtering out a lot of data. Health check found 50 filtered examples but only 9 good ones. This will make your tests much slower, and also will probably distort the data generation quite a lot. You should adapt your strategy to filter less. This can also be caused by a low max_leaves parameter in recursive() calls
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.filter_too_much to the suppress_health_check settings for this test."
python_by_contract_corpus.ethz_eprog_2019.exercise_06.problem_01,time_in_swiss_german,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_06.problem_04,_values_except_node,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_06.problem_05,compute_angles,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_07.problem_02,same_order,False,False,False,1,False,True,"File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/ethz_eprog_2019/exercise_07/problem_02.py, line 24 in <module>:
len(lst) <= len(old_values):
len(lst) was 1
len(old_values) was 0
lst was [0]
old_values was []"
python_by_contract_corpus.ethz_eprog_2019.exercise_07.problem_02,split,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_08.problem_01,matches,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_08.problem_01,stretch,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_08.problem_02,is_subsequence,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_08.problem_02,list_subsequences,True,True,False,72,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_08.problem_03,simulate,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_08.problem_05,list_next_positions,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_08.problem_05,simulate,True,False,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_09.problem_03,compute_totals,False,False,False,2,False,False,<class 'UnboundLocalError'> :     local variable 'date' referenced before assignment
python_by_contract_corpus.ethz_eprog_2019.exercise_09.problem_03,parse,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_09.problem_03,parse_block,True,False,False,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_01,critical,False,False,False,0,False,False,<class 'TypeError'> :     Cannot hash a signaling NaN value
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_01,parse,True,False,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_01,top,False,False,False,1,False,False,<class 'TypeError'> :     Cannot hash a signaling NaN value
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_02,_parse_atom,False,False,False,11,False,False,<class 'AttributeError'> :     'str' object has no attribute 'kind'
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_02,_parse_expr,False,False,False,26,False,False,<class 'AttributeError'> :     'str' object has no attribute 'kind'
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_02,_unparse,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_02,collect_variables,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_02,evaluate,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_02,parse_tokens,False,False,False,1,False,False,<class 'KeyError'> :     <TokenKind.VAR: 2>
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_02,tokenize,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_02,tokens_to_text,False,False,False,47,False,False,<class 'KeyError'> :     <TokenKind.VAR: 2>
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_02,unparse,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,_parse_atom,False,False,False,0,False,False,<class 'AttributeError'> :     'str' object has no attribute 'kind'
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,_parse_expr,False,False,False,0,False,False,<class 'AttributeError'> :     'str' object has no attribute 'kind'
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,_parse_stmt,False,False,False,30,False,False,<class 'AttributeError'> :     'str' object has no attribute 'kind'
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,interpret,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,parse_program,False,False,False,0,False,False,<class 'AssertionError'> :     
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,tokenize,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,tokens_to_text,False,False,False,11,False,False,<class 'AssertionError'> :     
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,unparse,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,_execute_binary_operation,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,_execute_call,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,_execute_const,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,_execute_load,False,False,False,1,True,False,"Data generation is extremely slow: Only produced 0 valid examples in 1.21 seconds (11 invalid ones and 0 exceeded maximum size). Try decreasing size of the data you're generating (with e.g.max_size or max_leaves parameters).
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.too_slow to the suppress_health_check settings for this test."
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,_execute_store,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,_execute_unary_operation,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,compare_against_interpret,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,compile_and_execute,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,compile_program,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_03,execute,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_04,find_top,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_04,tokenize,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_04,tokens_to_words,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_10_adapter_array,compute_result,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_10_adapter_array,histogram_differences,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_10_adapter_array,parse,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_11_seating_system,apply,False,False,False,0,False,False,"<class 'TypeError'> :     File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/aoc2020/day_11_seating_system.py, line 61 in Layout:
The argument(s) of the contract condition have not been set: ['table']. Does the original function define them? Did you supply them in the call?"
python_by_contract_corpus.aoc2020.day_11_seating_system,apply_until_stable,False,False,False,0,False,False,"<class 'TypeError'> :     File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/aoc2020/day_11_seating_system.py, line 61 in Layout:
The argument(s) of the contract condition have not been set: ['table']. Does the original function define them? Did you supply them in the call?"
python_by_contract_corpus.aoc2020.day_11_seating_system,count_occupied,False,False,False,0,False,False,"<class 'TypeError'> :     File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/aoc2020/day_11_seating_system.py, line 61 in Layout:
The argument(s) of the contract condition have not been set: ['table']. Does the original function define them? Did you supply them in the call?"
python_by_contract_corpus.aoc2020.day_11_seating_system,list_neighbourhood,True,True,False,100,False,False,
python_by_contract_corpus.aoc2020.day_11_seating_system,parse_layout,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_11_seating_system,repr_layout,False,False,False,0,False,False,"<class 'TypeError'> :     File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/aoc2020/day_11_seating_system.py, line 61 in Layout:
The argument(s) of the contract condition have not been set: ['table']. Does the original function define them? Did you supply them in the call?"
python_by_contract_corpus.aoc2020.day_12_rain_risk,parse_input,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_12_rain_risk,solve,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_12_rain_risk,update_position,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_13_shuttle_search,find_departure,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_13_shuttle_search,next_departure,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_13_shuttle_search,parse_input,False,False,False,0,False,False,<class 'IndexError'> :     list index out of range
python_by_contract_corpus.aoc2020.day_14_docking_data,execute,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_14_docking_data,parse_lines,True,False,False,0,True,False,
python_by_contract_corpus.aoc2020.day_14_docking_data,parse_mask,True,True,True,100,False,False,
