module,function_name,runs,assume_free,filter_free,nb_samples,failed_health_check,violation_error,exceptions
python_by_contract_corpus.ethz_eprog_2019.exercise_02.problem_02,draw,True,True,False,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_02.problem_03,draw,True,True,False,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_02.problem_05_01,draw,True,True,False,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_02.problem_05_02,draw,True,True,False,16,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_01,compute,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_02,repr_binary,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_03,gcd,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_04,decode,True,True,False,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_03.problem_04,encode,True,True,True,16,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_01,find,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_01,naive_is_prime,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_01,sieve,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_02,approximate_sqrt,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_03,digits_to_number,True,True,False,28,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_03,find_summands,True,True,True,100,False,False,
python_by_contract_corpus.ethz_eprog_2019.exercise_04.problem_03,number_to_digits,True,True,True,100,False,False,
